ISO_code,U5MR
AFG,104
ALB,15
DZA,31
AND,4
AGO,161
ATG,8
ARG,15
ARM,18
AUS,5
AUT,4
AZE,46
BHS,16
BHR,10
BGD,49
BRB,19
BLR,6
BEL,4
BLZ,18
BEN,109
BTN,56
BOL,53
BIH,8
BWA,28
BRA,17
BRN,7
BGR,13
BFA,149
BDI,142
KHM,46
CMR,129
CAN,6
CPV,23
CAF,165
TCD,171
CHL,9
CHN,16
COL,18
COM,81
COG,100
COK,10
CRI,10
CIV,117
HRV,5
CUB,6
CYP,3
CZE,4
PRK,33
COD,170
DNK,4
DJI,91
DMA,12
DOM,26
ECU,24
EGY,23
SLV,16
GNQ,122
ERI,70
EST,4
ETH,82
FJI,17
FIN,3
FRA,4
GAB,67
GMB,103
GEO,22
DEU,4
GHA,80
GRC,5
GRD,13
GTM,32
GIN,130
GNB,162
GUY,37
HTI,161
HND,22
HUN,7
ISL,3
IND,63
IDN,33
IRN,26
IRQ,39
IRL,4
ISR,5
ITA,4
JAM,19
JPN,3
JOR,21
KAZ,29
KEN,76
KIR,49
KWT,11
KGZ,32
LAO,44
LVA,9
LBN,10
LSO,93
LBR,83
LBY,17
LTU,6
LUX,3
MDG,64
MWI,89
MYS,7
MDV,12
MLI,179
MLT,6
MHL,28
MRT,113
MUS,15
MEX,17
FSM,42
MCO,4
MNG,33
MNE,8
MAR,34
MOZ,108
MMR,65
NAM,46
NRU,40
NPL,50
NLD,4
NZL,6
NIC,27
NER,131
NGA,129
NIU,22
NOR,3
PSE,23
OMN,9
PAK,74
PLW,19
PAN,20
PNG,60
PRY,23
PER,19
PHL,26
POL,6
PRT,4
QAT,8
KOR,5
MDA,17
ROU,14
RUS,13
RWA,60
KNA,8
LCA,16
VCT,21
WSM,19
SMR,2
STP,89
SAU,10
SEN,69
SRB,7
SYC,14
SLE,189
SGP,3
SVK,8
SVN,3
SLB,22
SOM,180
ZAF,53
SSD,124
ESP,5
LKA,13
SDN,88
SUR,30
SWZ,109
SWE,3
CHE,5
SYR,16
TJK,66
THA,13
MKD,10
TLS,58
TGO,112
TON,16
TTO,28
TUN,17
TUR,16
TKM,54
TUV,31
UGA,94
UKR,11
ARE,7
GBR,5
TZA,73
USA,8
URY,11
UZB,50
VUT,14
VEN,16
VNM,23
YEM,79
ZMB,90
ZWE,72
